Player,team,experience_years
"Rodney Stuckey","Indiana Pacers",9
"Rudy Gobert","Utah Jazz",4
"Russ Smith","Memphis Grizzlies",1
"Russell Westbrook","Oklahoma City Thunder",9
"Ryan Anderson","Houston Rockets",9
"Ryan Hollins","Memphis Grizzlies",9
"Ryan Kelly","Atlanta Hawks",3
"Sam Dekker","Houston Rockets",2
"Sasha Kaun","Cleveland Cavaliers",0
"Semaj Christon","Oklahoma City Thunder",0
"Serge Ibaka","Oklahoma City Thunder",8
"Shaun Livingston","Golden State Warriors",13
"Shayne Whittington","Indiana Pacers",1
"Sheldon McClellan","Washington Wizards",
"Shelvin Mack","Atlanta Hawks",6
"Solomon Hill","Indiana Pacers",3
"Spencer Hawes","Milwaukee Bucks",9
"Stephen Curry","Golden State Warriors",8
"Steve Novak","Milwaukee Bucks",10
"Steven Adams","Oklahoma City Thunder",4
"Taj Gibson","Oklahoma City Thunder",8
"Taurean Waller-Prince","Atlanta Hawks",1
"Terrence Jones","Houston Rockets",4
"Terrence Ross","Toronto Raptors",5
"Terry Rozier","Boston Celtics",2
"Thabo Sefolosha","Atlanta Hawks",11
"Thaddeus Young","Indiana Pacers",10
"Thon Maker","Milwaukee Bucks",1
"Tiago Splitter","Atlanta Hawks",6
"Tibor Pleiss","Utah Jazz",0
"Tim Duncan","San Antonio Spurs",18
"Tim Hardaway","Atlanta Hawks",13
"Timofey Mozgov","Cleveland Cavaliers",7
"Tomas Satoransky","Washington Wizards",1
"Toney Douglas","Memphis Grizzlies",7
"Tony Allen","Memphis Grizzlies",13
"Tony Parker","San Antonio Spurs",16
"Tony Snell","Milwaukee Bucks",4
"Trevor Ariza","Houston Rockets",13
"Trevor Booker","Utah Jazz",7
"Trey Burke","Utah Jazz",3
"Trey Lyles","Utah Jazz",2
"Tristan Thompson","Cleveland Cavaliers",6
"Troy Daniels","Memphis Grizzlies",4
"Troy Williams","Houston Rockets",1
"Ty Lawson","Houston Rockets",7
"Tyler Ennis","Houston Rockets",3
"Tyler Zeller","Boston Celtics",5
"Victor Oladipo","Oklahoma City Thunder",4
"Vince Carter","Memphis Grizzlies",19
"Wade Baldwin","Memphis Grizzlies",0
"Walter Tavares","Atlanta Hawks",
"Wayne Selden","Memphis Grizzlies",1
"Xavier Munford","Memphis Grizzlies",0
"Zach Randolph","Memphis Grizzlies",16
"Zaza Pachulia","Golden State Warriors",14
